Row Labels,Anchovy,Banana,Beef,Cassava,Cassava Chips(Kokonte),Coconut Oil,Cocoyam,Cowpea,Dried pepper,Eggs commercial,Fresh pepper,Garden Egg,Gari,Ginger,Groundnut (Red),Groundnut Oil,Live bird,Maize ,Mango,Millet,Okro,Onion,Oranges,Paddy Rice,Palm  Fruit,Palm Oil,Pineapple,Plantain (Apem),Plantain (Apentu),Pork,Rice - Imported (non-perfumed),Rice - Imported (perfumed),Rice Local  (local perfumed),Rice Local (non-perfumed),Salted Dried Fish(Koobi),Smoked Herrings,Sorghum,Soya Bean,Tomatoes,Yam (White)
WA,,,,#DIV/0!,,,#DIV/0!,272.5,372.8,14,250,,,,410,,,142.85,,143.1,,360,49,109.6,#DIV/0!,141.1,,#DIV/0!,30,,160,#DIV/0!,#DIV/0!,142.85,,#DIV/0!,116.8,,165,490
4TH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCRA,,,,55,,,160,300,400,15,165,,,,460,,,200,,210,,220,20,#DIV/0!,60,70,,35,25,,195,240,220,190,,95,210,,450,340
BOLGATANGA,,,,#DIV/0!,,,#DIV/0!,300,#DIV/0!,14,#DIV/0!,,,,450,,,130,,160,,380,#DIV/0!,140,#DIV/0!,50,,40,30,,165,320,180,160,,#DIV/0!,120,,#DIV/0!,800
CAPECOAST,,,,50,,,320,450,100,15,550,,,,30,,,200,,200,,350,15,130,50,150,,22,15,,210,290,175,150,,16,220,,350,450
EJURA,,,,18,,,150,300,250,12,120,,,,550,,,200,,165,,300,25,95,#DIV/0!,85,,20,18,,250,300,200,160,,#DIV/0!,210,,220,470
HO,,,,80,,,150,480,350,16,#DIV/0!,,,,320,,,190,,130,,380,36,#DIV/0!,200,73,,23,20,,220,280,300,250,,86,180,,550,550
KOFORIDUA,,,,40,,,150,320,600,15,120,,,,520,,,220,,220,,320,15,#DIV/0!,40,120,,28,20,,220,270,#DIV/0!,#DIV/0!,,55,200,,650,400
KUMASI,,,,32,,,124,240,240,15,104,,,,450,,,150,,170,,240,7,90,#DIV/0!,80,,38,14,,240,300,140,135,,65,160,,240,200
MANKESSIM,,,,42,,,200,450,90,14,430,,,,42,,,200,,215,,390,13.4,130,38,200,,19.6,12.5,,295,210,176,150,,14,220,,370,420
OBUASI,,,,30,,,100,340,100,16,#DIV/0!,,,,400,,,160,,170,,250,#DIV/0!,100,#DIV/0!,90,,50,30,,160,230,180,180,,100,220,,16,450
SUNYANI,,,,30,,,100,300,150,14,50,,,,400,,,160,,180,,175,10,#DIV/0!,40,65,,14,11,,156,205,220,220,,80,170,,150,275
TAKORADI,,,,80,,,400,380,700,15,200,,,,450,,,180,,220,,300,14,300,55,85,,20,16,,250,350,240,200,,40,200,,500,200
TAMALE,,,,100,,,#DIV/0!,360,136,13,#DIV/0!,,,,400,,,160,,160,,250,20,100,#DIV/0!,57,,50,40,,210,270,140,130,,#DIV/0!,160,,300,200
TECHIMAN,,,,36,,,120,260,320,12,114,,,,380,,,125,,100,,122,8,120,50,90,,10,12,,250,270,130,125,,70,140,,280,400
TEMA,,,,60,,,100,340,350,18,#DIV/0!,,,,560,,,192,,200,,300,30,#DIV/0!,60,80,,#DIV/0!,30,,190,290,#DIV/0!,#DIV/0!,,60,#DIV/0!,,600,#DIV/0!
WA,,,,65,,,#DIV/0!,272.5,532.8,14,166.7,,,,410,,,142,,143.1,,360,49,109.6,#DIV/0!,141.1,,#DIV/0!,30,,160,#DIV/0!,#DIV/0!,142.85,,#DIV/0!,136.25,,350,490
AUGUST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCRA,,,,70,,,150,300,400,15,160,,,,460,,,200,,210,,220,18,#DIV/0!,60,70,,34,22,,195,240,220,190,,90,210,,200,340
BOLGATANGA,,,,#DIV/0!,,,#DIV/0!,300,#DIV/0!,14,#DIV/0!,,,,450,,,130,,160,,380,#DIV/0!,140,#DIV/0!,50,,40,30,,165,320,180,160,,#DIV/0!,120,,#DIV/0!,800
CAPECOAST,,,,50,,,320,450,100,15,550,,,,30,,,200,,200,,350,15,130,50,150,,22,15,,210,290,175,150,,16,220,,350,450
EJURA,,,,18,,,150,300,250,12,120,,,,550,,,200,,165,,300,25,95,#DIV/0!,85,,20,18,,250,300,200,160,,#DIV/0!,210,,220,470
HO,,,,80,,,150,480,350,16,#DIV/0!,,,,320,,,190,,130,,380,36,#DIV/0!,200,73,,23,20,,220,280,300,250,,86,180,,550,550
KOFORIDUA,,,,40,,,150,320,600,15,100,,,,520,,,220,,220,,280,20,#DIV/0!,40,120,,26,17,,220,270,#DIV/0!,#DIV/0!,,50,200,,350,#DIV/0!
KUMASI,,,,32,,,124,240,240,15,104,,,,450,,,150,,170,,240,7,90,#DIV/0!,80,,38,14,,240,300,140,135,,65,160,,240,200
MANKESSIM,,,,42,,,200,450,90,14,430,,,,42,,,200,,215,,390,13.4,130,38,200,,19.6,12.5,,295,210,176,150,,14,220,,370,420
OBUASI,,,,30,,,100,340,100,16,#DIV/0!,,,,400,,,160,,170,,250,#DIV/0!,100,#DIV/0!,90,,50,30,,160,230,180,180,,100,220,,16,450
SUNYANI,,,,30,,,100,300,150,14,50,,,,400,,,160,,180,,175,10,#DIV/0!,40,65,,14,11,,156,205,220,220,,80,170,,150,275
TAKORADI,,,,80,,,400,380,700,15,200,,,,450,,,180,,220,,300,14,300,55,85,,20,16,,250,350,240,200,,40,200,,500,200
TAMALE,,,,100,,,#DIV/0!,360,136,13,#DIV/0!,,,,400,,,160,,160,,250,20,100,#DIV/0!,57,,50,40,,210,270,140,130,,#DIV/0!,160,,300,200
TECHIMAN,,,,36,,,120,260,320,12,114,,,,380,,,125,,100,,122,8,120,50,90,,10,12,,250,270,130,125,,70,140,,280,400
TEMA,,,,60,,,100,340,350,18,#DIV/0!,,,,560,,,192,,200,,300,30,#DIV/0!,60,80,,#DIV/0!,30,,190,290,#DIV/0!,#DIV/0!,,60,#DIV/0!,,600,#DIV/0!
WA,,,,65,,,#DIV/0!,272.5,532.8,14,166.7,,,,410,,,142,,143.1,,360,49,109.6,#DIV/0!,141.1,,#DIV/0!,30,,160,#DIV/0!,#DIV/0!,142.85,,#DIV/0!,136.25,,350,490
2ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCRA,,,,70,,,150,300,400,15,160,,,,460,,,200,,210,,220,18,#DIV/0!,60,70,,34,22,,195,240,220,190,,90,210,,200,340
BOLGATANGA,,,,#DIV/0!,,,#DIV/0!,300,#DIV/0!,14,#DIV/0!,,,,450,,,130,,160,,380,#DIV/0!,140,#DIV/0!,50,,40,30,,165,320,180,160,,#DIV/0!,120,,#DIV/0!,800
CAPECOAST,,,,50,,,280,350,150,15,120,,,,450,,,200,,200,,350,16,130,30,80,,20,15,,210,290,175,150,,50,220,,550,400
EJURA,,,,18,,,150,280,250,12,120,,,,550,,,170,,165,,300,25,95,#DIV/0!,85,,20,18,,250,300,200,160,,#DIV/0!,210,,200,470
HO,,,,80,,,150,480,350,16,#DIV/0!,,,,320,,,190,,130,,380,36,#DIV/0!,200,73,,23,20,,220,280,300,250,,86,180,,550,550
KOFORIDUA,,,,40,,,150,320,600,15,100,,,,520,,,220,,220,,280,20,#DIV/0!,40,120,,26,17,,220,270,#DIV/0!,#DIV/0!,,50,200,,350,#DIV/0!
KUMASI,,,,30,,,110,220,200,15,64,,,,450,,,170,,170,,265,6,98,#DIV/0!,88,,38,14,,220,300,140,135,,70,160,,150,230
MANKESSIM,,,,46,,,195,385,180,14,75,,,,450,,,190,,210,,365,15,130,44,77,,18,10,,210,300,176,150,,40,220,,400,400
OBUASI,,,,30,,,100,340,100,16,#DIV/0!,,,,400,,,160,,170,,250,#DIV/0!,100,#DIV/0!,90,,50,30,,160,230,180,180,,100,220,,16,450
SUNYANI,,,,30,,,100,300,150,14,50,,,,400,,,160,,180,,175,10,#DIV/0!,40,65,,14,11,,156,205,220,220,,80,170,,150,275
TAKORADI,,,,80,,,180,380,720,16,150,,,,420,,,200,,220,,320,14,150,55,90,,25,20,,260,350,240,200,,40,200,,250,380
TAMALE,,,,100,,,#DIV/0!,360,136,13,#DIV/0!,,,,400,,,160,,160,,250,30,100,#DIV/0!,87,,40,30,,220,270,180,140,,#DIV/0!,160,,270,200
TECHIMAN,,,,36,,,140,250,240,13,38,,,,450,,,133,,160,,107,15,120,72,90,,10,15,,250,270,125,125,,60,150,,150,300
TEMA,,,,60,,,100,340,350,18,#DIV/0!,,,,560,,,192,,200,,300,30,#DIV/0!,60,80,,#DIV/0!,30,,190,290,#DIV/0!,#DIV/0!,,60,#DIV/0!,,600,#DIV/0!
WA,,,,#DIV/0!,,,#DIV/0!,272.5,532.8,14,166,,,,410,,,142,,143.1,,360,49,109.6,#DIV/0!,141.1,,#DIV/0!,30,,160,#DIV/0!,#DIV/0!,142.85,,#DIV/0!,136.25,,270,490
3RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCRA,,,,70,,,150,300,400,15,160,,,,460,,,200,,210,,220,18,#DIV/0!,60,70,,34,22,,195,240,220,190,,90,210,,200,340
BOLGATANGA,,,,#DIV/0!,,,#DIV/0!,300,#DIV/0!,14,#DIV/0!,,,,450,,,130,,160,,380,#DIV/0!,140,#DIV/0!,50,,40,30,,165,320,180,160,,#DIV/0!,120,,#DIV/0!,800
CAPECOAST,,,,50,,,280,350,150,15,120,,,,450,,,200,,200,,350,16,130,30,80,,20,15,,210,290,175,150,,50,220,,550,400
EJURA,,,,18,,,150,280,250,12,120,,,,550,,,170,,165,,300,25,95,#DIV/0!,85,,20,18,,250,300,200,160,,#DIV/0!,210,,200,470
HO,,,,80,,,150,480,350,16,#DIV/0!,,,,320,,,190,,130,,380,36,#DIV/0!,200,73,,23,20,,220,280,300,250,,86,180,,550,550
KOFORIDUA,,,,40,,,150,320,600,15,100,,,,520,,,220,,220,,280,20,#DIV/0!,40,120,,26,17,,220,270,#DIV/0!,#DIV/0!,,50,200,,350,#DIV/0!
KUMASI,,,,30,,,110,220,200,15,64,,,,450,,,170,,170,,265,6,98,#DIV/0!,88,,38,14,,220,300,140,135,,70,160,,150,230
MANKESSIM,,,,46,,,195,385,180,14,75,,,,450,,,190,,210,,365,15,130,44,77,,18,10,,210,300,176,150,,40,220,,400,400
OBUASI,,,,30,,,100,340,100,16,#DIV/0!,,,,400,,,160,,170,,250,#DIV/0!,100,#DIV/0!,90,,50,30,,160,230,180,180,,100,220,,16,450
SUNYANI,,,,30,,,100,300,150,14,50,,,,400,,,160,,180,,175,10,#DIV/0!,40,65,,14,11,,156,205,220,220,,80,170,,150,275
TAKORADI,,,,80,,,180,380,720,16,150,,,,420,,,200,,220,,320,14,150,55,90,,25,20,,260,350,240,200,,40,200,,250,380
TAMALE,,,,100,,,#DIV/0!,360,136,13,#DIV/0!,,,,400,,,160,,160,,250,30,100,#DIV/0!,87,,40,30,,220,270,180,140,,#DIV/0!,160,,270,200
TECHIMAN,,,,36,,,140,250,240,13,38,,,,450,,,133,,160,,107,15,120,72,90,,10,15,,250,270,125,125,,60,150,,150,300
TEMA,,,,60,,,100,340,350,18,#DIV/0!,,,,560,,,192,,200,,300,30,#DIV/0!,60,80,,#DIV/0!,30,,190,290,#DIV/0!,#DIV/0!,,60,#DIV/0!,,600,#DIV/0!
WA,,,,#DIV/0!,,,#DIV/0!,272.5,532.8,14,166,,,,410,,,142,,143.1,,360,49,109.6,#DIV/0!,141.1,,#DIV/0!,30,,160,#DIV/0!,#DIV/0!,142.85,,#DIV/0!,136.25,,270,490
4TH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCRA,,,,60,,,250,300,400,16,140,,,,460,,,200,,210,,200,18,#DIV/0!,#DIV/0!,70,,25,18,,195,240,220,190,,85,210,,450,320
BOLGATANGA,,,,#DIV/0!,,,#DIV/0!,260,#DIV/0!,14,#DIV/0!,,,,350,,,125,,140,,250,#DIV/0!,140,#DIV/0!,50,,60,40,,160,300,160,150,,#DIV/0!,110,,#DIV/0!,450
CAPECOAST,,,,50,,,280,350,150,15,150,,,,450,,,210,,200,,400,16,130,30,80,,20,14,,210,290,175,150,,40,220,,400,450
EJURA,,,,18,,,150,280,250,12,120,,,,550,,,170,,165,,300,25,95,#DIV/0!,85,,20,18,,250,300,200,160,,#DIV/0!,210,,200,470
HO,,,,80,,,150,480,350,16,#DIV/0!,,,,320,,,190,,130,,380,36,#DIV/0!,200,73,,23,20,,220,280,300,250,,86,180,,550,550
KOFORIDUA,,,,40,,,150,320,600,15,160,,,,560,,,200,,220,,270,25,#DIV/0!,60,120,,24,14,,270,220,#DIV/0!,#DIV/0!,,50,200,,500,#DIV/0!
KUMASI,,,,32,,,110,240,220,15,100,,,,500,,,170,,175,,260,8,90,#DIV/0!,90,,38,13,,220,300,150,145,,70,160,,180,220
MANKESSIM,,,,40,,,180,380,190,15,89,,,,450,,,200,,210,,400,13,130,37,78,,17.6,9,,210,300,180,150,,37,220,,380,350
OBUASI,,,,30,,,100,340,100,16,#DIV/0!,,,,400,,,160,,170,,250,#DIV/0!,100,#DIV/0!,90,,50,30,,160,230,180,180,,100,220,,16,450
SUNYANI,,,,28,,,110,320,200,13,50,,,,460,,,144,,180,,220,12,0,48,70,,13,12,,239,155,220,220,,80,160,,90,206
TAKORADI,,,,80,,,180,380,720,16,150,,,,420,,,200,,220,,320,14,150,55,90,,25,20,,260,350,240,200,,40,200,,250,380
TAMALE,,,,100,,,#DIV/0!,360,136,13,#DIV/0!,,,,400,,,160,,160,,250,30,100,#DIV/0!,87,,40,30,,220,270,180,140,,#DIV/0!,160,,270,200
TECHIMAN,,,,36,,,140,280,320,13,120,,,,450,,,138,,160,,122,15,120,54,90,,15,20,,260,260,130,125,,90,150,,200,300
TEMA,,,,60,,,100,360,350,18,#DIV/0!,,,,423,,,192,,200,,300,35,#DIV/0!,60,80,,#DIV/0!,30,,290,310,#DIV/0!,#DIV/0!,,60,#DIV/0!,,250,#DIV/0!
WA,,,,#DIV/0!,,,#DIV/0!,272.5,532.8,14,166,,,,410,,,142,,143.1,,360,49,109.6,#DIV/0!,141.1,,#DIV/0!,30,,160,#DIV/0!,#DIV/0!,142.85,,#DIV/0!,136.25,,270,490
5TH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCRA,,,,50,,,260,300,400,16,120,,,,460,,,192,,210,,190,24,#DIV/0!,#DIV/0!,70,,28,20,,195,240,220,190,,80,210,,200,320
BOLGATANGA,,,,#DIV/0!,,,#DIV/0!,260,#DIV/0!,14,#DIV/0!,,,,350,,,120,,130,,250,#DIV/0!,140,#DIV/0!,50,,60,50,,160,300,160,150,,#DIV/0!,110,,#DIV/0!,400
CAPECOAST,,,,49,,,280,380,150,15,120,,,,500,,,210,,200,,400,16,130,30,80,,20,15,,210,290,175,150,,40,220,,350,450
EJURA,,,,18,,,150,280,250,12,120,,,,550,,,170,,165,,300,25,95,#DIV/0!,85,,20,18,,250,300,200,160,,#DIV/0!,210,,200,470
HO,,,,80,,,150,480,350,16,#DIV/0!,,,,320,,,190,,130,,380,36,#DIV/0!,200,73,,23,20,,220,280,300,250,,86,180,,550,550
KOFORIDUA,,,,40,,,150,320,600,15,160,,,,560,,,200,,220,,270,25,#DIV/0!,60,120,,24,14,,270,220,#DIV/0!,#DIV/0!,,50,200,,500,#DIV/0!
KUMASI,,,,32,,,110,240,220,15,100,,,,500,,,170,,175,,260,8,90,#DIV/0!,90,,38,13,,220,300,150,145,,70,160,,180,220
MANKESSIM,,,,42,,,160,385,190,15.5,92,,,,460,,,180,,200,,420,12.5,138,35,80,,16,9,,210,290,180,150,,40,220,,340,360
OBUASI,,,,30,,,100,340,500,16,60,,,,400,,,160,,170,,250,#DIV/0!,100,#DIV/0!,70,,30,15,,160,230,180,180,,100,220,,180,450
SUNYANI,,,,28,,,110,320,200,13,50,,,,460,,,144,,180,,220,12,#DIV/0!,48,70,,13,12,,239,155,220,220,,80,160,,90,206
TAKORADI,,,,75,,,180,370,700,16,150,,,,420,,,200,,240,,320,12,150,55,90,,22,16,,250,320,240,200,,40,200,,300,380
TAMALE,,,,100,,,#DIV/0!,360,136,13,#DIV/0!,,,,400,,,160,,160,,250,40,100,#DIV/0!,87,,40,30,,220,270,180,140,,#DIV/0!,160,,200,200
TECHIMAN,,,,36,,,140,250,240,13,38,,,,450,,,133,,160,,107,15,120,72,90,,10,15,,250,270,125,125,,60,150,,150,300
TEMA,,,,60,,,109,360,350,18,#DIV/0!,,,,480,,,150,,200,,270,30,#DIV/0!,60,110,,#DIV/0!,15,,290,310,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,,250,#DIV/0!
WA,,,,#DIV/0!,,,#DIV/0!,272.5,532.8,14,166,,,,410,,,142,,143.1,,360,49,109.6,#DIV/0!,141.1,,#DIV/0!,30,,160,#DIV/0!,#DIV/0!,142.85,,#DIV/0!,136.25,,270,490
SEPTEMBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCRA,,,,50,,,260,300,400,16,120,,,,460,,,192,,210,,190,24,#DIV/0!,#DIV/0!,70,,28,20,,195,240,220,190,,80,210,,200,320
BOLGATANGA,,,,#DIV/0!,,,#DIV/0!,300,#DIV/0!,14,#DIV/0!,,,,350,,,120,,130,,200,#DIV/0!,140,#DIV/0!,50,,50,40,,160,300,160,150,,#DIV/0!,110,,#DIV/0!,340
CAPECOAST,,,,49,,,280,380,150,15,120,,,,500,,,210,,200,,400,16,130,30,80,,20,15,,210,290,175,150,,40,220,,350,450
EJURA,,,,18,,,150,280,250,12,120,,,,550,,,170,,165,,300,25,95,#DIV/0!,85,,20,18,,250,300,200,160,,#DIV/0!,210,,200,470
HO,,,,75,,,150,500,350,17,#DIV/0!,,,,260,,,150,,200,,140,12,#DIV/0!,72,120,,13,20,,140,220,240,240,,80,200,,300,350
KOFORIDUA,,,,45,,,120,320,500,15,240,,,,560,,,200,,170,,300,20,#DIV/0!,60,120,,24,14,,270,220,#DIV/0!,#DIV/0!,,70,200,,450,#DIV/0!
KUMASI,,,,32,,,110,240,220,15,100,,,,500,,,170,,175,,260,8,90,#DIV/0!,90,,38,13,,220,300,150,145,,70,160,,180,220
MANKESSIM,,,,42,,,160,385,190,15.5,92,,,,460,,,180,,200,,420,12.5,138,35,80,,16,9,,210,290,180,150,,40,220,,340,360
OBUASI,,,,30,,,100,340,400,16,120,,,,400,,,160,,170,,320,20,100,#DIV/0!,70,,20,12,,160,230,180,180,,10,220,,180,450
SUNYANI,,,,30,,,100,320,190,15,160,,,,440,,,104,,180,,300,12,#DIV/0!,44,75,,12,10,,150,215,220,220,,80,175,,165,250
TAKORADI,,,,75,,,180,370,700,16,150,,,,420,,,200,,240,,320,12,150,55,90,,22,16,,250,320,240,200,,40,200,,300,380
TAMALE,,,,100,,,#DIV/0!,360,136,13,#DIV/0!,,,,400,,,160,,160,,250,40,100,#DIV/0!,87,,40,30,,220,270,180,140,,#DIV/0!,160,,200,200
TECHIMAN,,,,36,,,140,250,240,13,38,,,,450,,,133,,160,,107,15,120,72,90,,10,15,,250,270,125,125,,60,150,,150,300
TEMA,,,,60,,,109,360,350,18,#DIV/0!,,,,480,,,150,,200,,270,30,#DIV/0!,60,110,,#DIV/0!,15,,290,310,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,,250,#DIV/0!
WA,,,,#DIV/0!,,,#DIV/0!,272.5,532.8,14,166,,,,410,,,142,,143.1,,360,49,109.6,#DIV/0!,141.1,,#DIV/0!,30,,160,#DIV/0!,#DIV/0!,142.85,,#DIV/0!,136.25,,270,490
2ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCRA,,,,50,,,260,300,400,16,120,,,,460,,,192,,210,,190,24,#DIV/0!,#DIV/0!,70,,28,20,,195,240,220,190,,80,210,,200,320
BOLGATANGA,,,,#DIV/0!,,,#DIV/0!,300,#DIV/0!,14,#DIV/0!,,,,350,,,120,,130,,200,#DIV/0!,140,#DIV/0!,50,,50,40,,160,300,160,150,,#DIV/0!,110,,#DIV/0!,340
CAPECOAST,,,,49,,,280,380,150,15,120,,,,500,,,210,,200,,400,16,130,30,80,,20,15,,210,290,175,150,,40,220,,350,450
EJURA,,,,18,,,150,280,250,12,120,,,,550,,,170,,165,,300,25,95,#DIV/0!,85,,20,18,,250,300,200,160,,#DIV/0!,210,,200,470
HO,,,,75,,,150,500,350,17,#DIV/0!,,,,260,,,150,,200,,140,12,#DIV/0!,72,120,,13,20,,140,220,240,240,,80,200,,300,350
KOFORIDUA,,,,45,,,120,320,500,15,240,,,,560,,,200,,170,,300,20,#DIV/0!,60,120,,24,14,,270,220,#DIV/0!,#DIV/0!,,70,200,,450,#DIV/0!
KUMASI,,,,32,,,110,240,220,15,100,,,,500,,,170,,175,,260,8,90,#DIV/0!,90,,38,13,,220,300,150,145,,70,160,,180,220
MANKESSIM,,,,42,,,160,385,190,15.5,92,,,,460,,,180,,200,,420,12.5,138,35,80,,16,9,,210,290,180,150,,40,220,,340,360
OBUASI,,,,30,,,100,340,400,16,120,,,,400,,,160,,170,,320,20,100,#DIV/0!,70,,20,12,,160,230,180,180,,10,220,,180,450
SUNYANI,,,,30,,,100,320,190,15,160,,,,440,,,104,,180,,300,12,#DIV/0!,44,75,,12,10,,150,215,220,220,,80,175,,165,250
TAKORADI,,,,75,,,180,370,700,16,150,,,,420,,,200,,240,,320,12,150,55,90,,22,16,,250,320,240,200,,40,200,,300,380
TAMALE,,,,100,,,#DIV/0!,360,136,13,#DIV/0!,,,,400,,,160,,160,,250,40,100,#DIV/0!,87,,40,30,,220,270,180,140,,#DIV/0!,160,,200,200
TECHIMAN,,,,36,,,140,250,240,13,38,,,,450,,,133,,160,,107,15,120,72,90,,10,15,,250,270,125,125,,60,150,,150,300
TEMA,,,,60,,,109,360,350,18,#DIV/0!,,,,480,,,150,,200,,270,30,#DIV/0!,60,110,,#DIV/0!,15,,290,310,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,,250,#DIV/0!
WA,,,,#DIV/0!,,,#DIV/0!,272.5,532.8,14,166,,,,410,,,142,,143.1,,360,49,109.6,#DIV/0!,141.1,,#DIV/0!,30,,160,#DIV/0!,#DIV/0!,142.85,,#DIV/0!,136.25,,270,490
3RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCRA,,,,50,,,250,340,340,16,120,,,,460,,,192,,210,,350,20,#DIV/0!,#DIV/0!,70,,26,17,,195,240,220,190,,100,210,,370,340
BOLGATANGA,,,,#DIV/0!,,,#DIV/0!,280,#DIV/0!,14,#DIV/0!,,,,300,,,115,,140,,200,#DIV/0!,140,#DIV/0!,50,,50,40,,150,280,150,135,,#DIV/0!,110,,#DIV/0!,300
CAPECOAST,,,,50,,,280,370,150,15,120,,,,500,,,210,,200,,450,16,130,30,80,,22,16,,210,290,175,150,,40,220,,300,400
EJURA,,,,18,,,150,280,250,12,120,,,,550,,,170,,165,,300,25,95,#DIV/0!,85,,20,18,,250,300,200,160,,#DIV/0!,210,,200,470
HO,,,,75,,,150,500,350,17,#DIV/0!,,,,260,,,150,,200,,140,12,#DIV/0!,72,120,,13,20,,140,220,240,240,,80,200,,300,350
KOFORIDUA,,,,45,,,120,320,600,15,280,,,,560,,,200,,170,,360,13,#DIV/0!,60,120,,20,13,,270,220,#DIV/0!,#DIV/0!,,55,200,,400,#DIV/0!
KUMASI,,,,42,,,130,240,230,16,340,,,,520,,,160,,180,,430,8,90,#DIV/0!,90,,36,14,,230,280,160,150,,85,170,,180,220
MANKESSIM,,,,96,,,190,380,285,16,200,,,,450,,,190,,220,,360,13,136,42,80,,16,9,,220,290,180,150,,38,215,,330,320
OBUASI,,,,#DIV/0!,,,450,350,500,#DIV/0!,70,,,,340,,,180,,100,,250,100,160,400,30,,15,10,,230,180,220,180,,#DIV/0!,170,,240,30
SUNYANI,,,,30,,,101,320,200,15,160,,,,460,,,96,,182,,330,6,#DIV/0!,48,7,,10,12,,189,206.67,221,221,,85,175,,200,275
TAKORADI,,,,75,,,180,370,700,16,150,,,,420,,,200,,240,,320,12,150,55,90,,22,16,,250,320,240,200,,40,200,,300,380
TAMALE,,,,100,,,#DIV/0!,360,136,13,#DIV/0!,,,,400,,,160,,160,,250,40,100,#DIV/0!,87,,40,30,,220,270,180,140,,#DIV/0!,160,,200,200
TECHIMAN,,,,48,,,150,250,280,15,200,,,,480,,,108,,160,,146,13,120,50,90,,15,10,,260,290,250,250,,100,150,,280,200
TEMA,,,,60,,,100,360,400,18,#DIV/0!,,,,480,,,150,,200,,400,35,#DIV/0!,60,110,,30,20,,290,310,#DIV/0!,#DIV/0!,,60,#DIV/0!,,320,#DIV/0!
WA,,,,#DIV/0!,,,#DIV/0!,272.5,532.8,14,166,,,,410,,,142,,143.1,,360,49,109.6,#DIV/0!,141.1,,#DIV/0!,30,,160,#DIV/0!,#DIV/0!,142.85,,#DIV/0!,136.25,,270,490
4TH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCRA,,,,50,,,250,340,340,16,120,,,,460,,,192,,210,,350,20,#DIV/0!,#DIV/0!,70,,26,17,,195,240,220,190,,100,210,,370,340
BOLGATANGA,,,,#DIV/0!,,,#DIV/0!,250,#DIV/0!,14,#DIV/0!,,,,320,,,120,,140,,#DIV/0!,#DIV/0!,0,#DIV/0!,50,,40,30,,150,280,150,135,,#DIV/0!,100,,100,260
CAPECOAST,,,,50,,,280,370,150,15,120,,,,500,,,210,,200,,450,16,130,30,80,,22,16,,210,290,175,150,,40,220,,300,400
EJURA,,,,18,,,150,280,250,14,120,,,,550,,,170,,165,,300,11,95,#DIV/0!,85,,20,18,,250,300,200,160,,#DIV/0!,210,,200,470
HO,,,,75,,,150,500,350,17,#DIV/0!,,,,260,,,150,,200,,140,12,#DIV/0!,72,120,,13,20,,140,220,240,240,,80,200,,300,350
KOFORIDUA,,,,45,,,120,320,600,15,280,,,,560,,,200,,170,,360,13,#DIV/0!,60,120,,20,13,,270,220,#DIV/0!,#DIV/0!,,55,200,,400,#DIV/0!
KUMASI,,,,42,,,130,240,230,16,340,,,,520,,,160,,180,,430,10,90,#DIV/0!,90,,36,14,,230,280,160,150,,85,170,,180,220
MANKESSIM,,,,96,,,190,380,285,16,200,,,,450,,,190,,220,,360,13,136,42,80,,16,9,,220,290,180,150,,38,215,,330,320
OBUASI,,,,30,,,100,340,500,14,300,,,,400,,,160,,170,,450,12,100,#DIV/0!,70,,15,8,,135,190,180,180,,100,220,,300,200
SUNYANI,,,,28,,,95,320,175,14,160,,,,450,,,96,,185,,335,12,#DIV/0!,48,70,,12,10,,170,217,285,285,,75,170,,400,260
TAKORADI,,,,75,,,180,370,700,16,150,,,,420,,,200,,240,,320,12,150,55,90,,22,16,,250,320,240,200,,40,200,,300,380
TAMALE,,,,100,,,#DIV/0!,360,136,13,#DIV/0!,,,,400,,,160,,160,,250,15,100,#DIV/0!,87,,40,30,,220,270,180,140,,#DIV/0!,160,,200,200
TECHIMAN,,,,45,,,150,260,280,13,150,,,,380,,,117,,160,,195,15,120,50,90,,12,10,,250,280,260,260,,10,160,,250,200
TEMA,,,,60,,,100,380,450,18,#DIV/0!,,,,480,,,150,,200,,320,25,#DIV/0!,60,110,,30,20,,290,310,#DIV/0!,#DIV/0!,,60,#DIV/0!,,400,#DIV/0!
